"fleet","serving_rate","wait","wait_served","total_delay","in_vehicle_delay","pick_walk","drop_walk","total_walk"
"1000","36.790218","91.834","249.616","432.481","182.864","219.252","332.982","552.198"
"2000","67.301338","167.824","249.363","402.46","153.097","221.099","323.695","544.774"
"3000","75.760941","185.597","244.978","387.303","142.325","217.334","321.541","538.866"
"4000","81.703407","198.668","243.157","380.882","137.725","215.893","320.823","536.703"
"5000","88.109169","213.226","242.002","375.702","133.699","214.581","320.013","534.597"
"6000","91.525642","220.589","241.013","372.324","131.311","214.098","319.472","533.562"
"7000","93.57222","224.316","239.725","369.359","129.633","212.985","319.643","532.632"
"8000","94.695839","225.614","238.251","366.282","128.03","211.616","319.33","530.956"
"9000","95.433792","226.324","237.152","363.69","126.537","210.616","319.126","529.734"
"10000","96.265953","226.763","235.559","360.816","125.257","209.414","319.224","528.643"
