"interval","method_long_desc","num_cab","serving_rate","average_wait","fleet_size","exe_time","match_percent","hierarchy"
"","Greedy","9500","97.437","232","4","384.355","","none"
"","Greedy","10500","98.019","334","4","455.243","","none"
"","Greedy","11500","98.41","313","4","493.109","","none"
"","Greedy","12500","98.769","300","4","471.245","","none"
"","Greedy","15000","99.055","299","4","586.474","","none"
"","Greedy","17500","99.146","305","4","692.296","","none"
"","Greedy","20000","99.223","290","4","778.001","","none"
"","Greedy","23000","99.253","288","4","873.647","","none"
"","Greedy","26000","99.282","286","4","939.868","","none"
"2","Simple Matching","4500","90.455","415","4","","","none"
"1","Simple Matching","6500","92.007","355","4","327.287","","none"
"2","Simple Matching","6500","94.197","441","4","350.198","","none"
"1","Simple Matching","7500","95.036","383","4","371.159","","none"
"2","Simple Matching","7500","97.164","458","4","374.555","","none"
"1","Simple Matching","8500","97.893","402","4","531.572","","none"
"2","Simple Matching","8500","98.599","452","4","512.244","","none"
"9","Simple Matching","9000","97.342","871","4","","","none"
"10","Simple Matching","9000","93.378","913","4","","","none"
"1","Simple Matching","9500","98.641","392","4","620.145","","none"
"2","Simple Matching","9500","98.886","458","","1934.1","","none"
"3","Simple Matching","9500","98.966","482","","1941.963","","none"
"4","Simple Matching","9500","99.9074","490","4","1080.711","","none"
"5","Simple Matching","9500","99.113","610","4","657.516","","none"
"6","Simple Matching","9500","99.127","537","4","743.618","","none"
"7","Simple Matching","9500","99.123","598","","1056.274","","none"
"8","Simple Matching","9500","99.066","659","4","1059.105","","none"
"9","Simple Matching","9500","98.539","864","4","1406.732","","none"
"10","Simple Matching","9500","95.101","911","4","1925.544","","none"
"1","Simple Matching","10500","98.945","387","4","610.819","","none"
"2","Simple Matching","10500","99.099","453","4","604.394","","none"
"3","Simple Matching","10500","99.108","484","4","711.381","","none"
"4","Simple Matching","10500","99.157","494","4","719.018","","none"
"5","Simple Matching","10500","99.161","609","4","767.013","","none"
"6","Simple Matching","10500","99.166","543","4","930.334","","none"
"7","Simple Matching","10500","99.148","596","4","967.852","","none"
"8","Simple Matching","10500","99.086","659","4","1127.592","","none"
"9","Simple Matching","10500","99.083","864","4","1341.238","","none"
"10","Simple Matching","10500","97.153","903","4","1853.47","","none"
"1","Simple Matching","11500","99.209","380","4","602.865","","none"
"2","Simple Matching","11500","99.209","454","4","7775","","none"
"3","Simple Matching","11500","99.19","476","4","662.617","","none"
"4","Simple Matching","11500","99.206","491","4","682.12","","none"
"5","Simple Matching","11500","99.191","607","4","772.677","","none"
"6","Simple Matching","11500","99.196","541","4","866.125","","none"
"7","Simple Matching","11500","99.177","594","4","1168.421","","none"
"8","Simple Matching","11500","99.15","657","4","2417.372","","none"
"9","Simple Matching","11500","99.093","858","4","1516.337","","none"
"10","Simple Matching","11500","98.451","900","4","1924.837","","none"
"1","Simple Matching","12500","99.269","388","4","667.298","","none"
"1","Simple Matching","12500","99.269","388","4","659.128","","none"
"2","Simple Matching","12500","99.266","457","4","693.656","","none"
"3","Simple Matching","12500","99.246","475","4","687.252","","none"
"3","Simple Matching","12500","99.246","475","4","750.529","","none"
"4","Simple Matching","12500","99.209","481","4","803.384","","none"
"5","Simple Matching","12500","99.212","601","4","827.922","","none"
"6","Simple Matching","12500","99.221","538","4","2506.382","","none"
"7","Simple Matching","12500","99.203","591","4","1086.799","","none"
"8","Simple Matching","12500","99.174","658","4","1243.2","","none"
"9","Simple Matching","12500","99.121","862","4","1494.106","","none"
"10","Simple Matching","12500","99.06","897","4","2026.412","","none"
"1","Simple Matching","13500","99.3","387","4","792.971","","none"
"1","Simple Matching","15000","99.314","388","4","868.067","","none"
"2","Simple Matching","15000","99.307","460","4","874.027","","none"
